model,samples,exact_match,wer_vs_reference,cer_vs_reference,wer_vs_original,cer_vs_original,changed_input_rate,avg_latency_seconds,task,gleu_vs_reference,accuracy,macro_f1,target_lang,bleu,chrf,tokens,entity_f1,rouge_1,rouge_2,rouge_l,bertscore_precision,bertscore_recall,bertscore_f1,max_text_length_chars
llama3.1:8b-instruct,500,,,,,,,1.0968341422863304,ner,,0.8120102719431093,0.0944100819669818,,,,15187.0,0.0488188976377952,,,,,,,
falcon3:7b-instruct,500,,,,,,,1.6765450276839546,ner,,0.8040429314545334,0.092625774340406,,,,15187.0,0.0259740259740259,,,,,,,
aya-expanse:8b,500,,,,,,,1.334985840015579,ner,,0.7347073154671758,0.0801860171949947,,,,15187.0,0.0098826436071649,,,,,,,
ilsp/Llama-Krikri-8B-Instruct:latest,500,,,,,,,16.443454859456047,ner,,0.7439915717389873,0.092650906902715,,,,15187.0,,,,,,,,
gemma2:9b,456,,,,,,,1.3605157698365746,pos,,0.6032608695652174,0.4861942277048872,,,,10672.0,,,,,,,,
falcon3:7b-instruct,456,,,,,,,1.3853740922140627,pos,,0.4376874062968516,0.3321202120515754,,,,10672.0,,,,,,,,
llama3.1:8b-instruct,456,,,,,,,1.210120253228652,pos,,0.3902736131934033,0.3093092202386063,,,,10672.0,,,,,,,,
qwen2.5:7b-instruct,456,,,,,,,1.1163138636738152,pos,,0.354291604197901,0.3017091028510529,,,,10672.0,,,,,,,,
aya-expanse:8b,456,,,,,,,0.9934320670088932,pos,,0.2293853073463268,0.1798983645560833,,,,10672.0,,,,,,,,
ilsp/Llama-Krikri-8B-Instruct:latest,456,,,,,,,15.236091668055836,pos,,0.335832083958021,0.2693759261935509,,,,10672.0,,,,,,,,
llama3.1:8b-instruct,300,,173.58493914464242,138.03447647318046,,,,4.533985050790943,summarization,,,,,,,,,0.0814107966439168,0.0339501117261414,0.0764226368734041,0.5143786072731018,0.5253994464874268,0.5173295736312866,
aya-expanse:8b,300,,208.78390963428225,172.32749590255474,,,,4.139778542050626,summarization,,,,,,,,,0.064318538423452,0.032343690059732,0.0631192438908241,0.515578031539917,0.5294845104217529,0.5190345644950867,
falcon3:7b-instruct,300,,235.21406681391008,193.0180600962615,,,,4.135275213980737,summarization,,,,,,,,,0.009379631309764,0.0022793406800111,0.0090365471840795,0.3671109080314636,0.3779491186141968,0.3708263635635376,
gemma2:9b,300,,271.1618173037092,231.13482905150187,,,,5.999279968986909,summarization,,,,,,,,,0.0276097865056311,0.0114115157661219,0.0273008852492883,0.3921136856079101,0.4253163039684295,0.4067395329475403,
qwen2.5:7b-instruct,300,,327.11256707709964,256.7649906919589,,,,4.749134404129969,summarization,,,,,,,,,0.0157894451582224,0.0028271463126025,0.0142065756534567,0.3433190286159515,0.3843249678611755,0.3620047271251678,
ilsp/Llama-Krikri-8B-Instruct:latest,300,,199.3995971286116,166.49335423036658,,,,47.11722845282095,summarization,,,,,,,,,0.1306583040752249,0.0628689233774821,0.119880363606108,0.5184085369110107,0.5675774216651917,0.5396127104759216,117879.0
